sunscreen,age_group,gender,water_resistant,formulation,spf
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,old,male,yes,chemical,50
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,old,female,yes,chemical,50
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,teenage,male,yes,chemical,50
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,teenage,female,yes,chemical,50
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,adult,male,yes,chemical,50
Chemists' Own Dry Touch Sunscreen Lotion SPF50+,adult,female,yes,chemical,50
Cancer Council Day Wear Water Resistant Spf 50+ ,old,male,yes,mineral,50
Cancer Council Day Wear Water Resistant Spf 50+ ,old,female,yes,mineral,50
Cancer Council Day Wear Water Resistant Spf 50+ ,teenage,male,yes,mineral,50
Cancer Council Day Wear Water Resistant Spf 50+ ,teenage,female,yes,mineral,50
Cancer Council Day Wear Water Resistant Spf 50+ ,adult,male,yes,mineral,50
Cancer Council Day Wear Water Resistant Spf 50+ ,adult,female,yes,mineral,50
"Neutrogena, Beach Defense, Sunscreen Lotion, SPF 70",adult,male,yes,chemical,50
"Neutrogena, Beach Defense, Sunscreen Lotion, SPF 70",adult,female,yes,chemical,50
"Neutrogena, Beach Defense, Sunscreen Lotion, SPF 70",old,male,yes,chemical,50
"Neutrogena, Beach Defense, Sunscreen Lotion, SPF 70",old,female,yes,chemical,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",old,male,yes,mineral,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",old,female,yes,mineral,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",teenage,male,yes,mineral,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",teenage,female,yes,mineral,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",adult,male,yes,mineral,50
"SolRX WaterBlock Matte Zinc Sunscreen, SPF 50",adult,female,yes,mineral,50
Cancer Council Watersport Spf50+ Sunscreen,old,male,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,old,female,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,teenage,male,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,teenage,female,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,adult,male,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,adult,female,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,kid,male,yes,chemical,50
Cancer Council Watersport Spf50+ Sunscreen,kid,female,yes,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,old,male,no,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,old,female,no,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,teenage,male,no,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,teenage,female,no,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,adult,male,no,chemical,50
Cancer Council SPF 50+ Day Wear Matte Invisible,adult,female,no,chemical,50
Ego Sunsense Sport SPF 50+ Sunscreen,kid,male,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,kid,female,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,old,male,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,old,female,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,teenage,male,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,teenage,female,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,adult,male,yes,mineral,50
Ego Sunsense Sport SPF 50+ Sunscreen,adult,female,yes,mineral,50
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,kid,male,yes,mineral,50
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,kid,female,yes,mineral,50
Fenty Hydra Vizor Invisible Broad Spectrum SPF 15 Sunscreen Moisturizer,adult,male,no,chemical,15
Fenty Hydra Vizor Invisible Broad Spectrum SPF 15 Sunscreen Moisturizer,adult,female,no,chemical,15
Fenty Hydra Vizor Invisible Broad Spectrum SPF 15 Sunscreen Moisturizer,old,male,no,chemical,15
Fenty Hydra Vizor Invisible Broad Spectrum SPF 15 Sunscreen Moisturizer,old,female,no,chemical,15
Natural Tone Organic Skincare SPF 15 Plant Based,kid,male,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,kid,female,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,old,male,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,old,female,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,teenage,male,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,teenage,female,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,adult,male,no,mineral,15
Natural Tone Organic Skincare SPF 15 Plant Based,adult,female,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,kid,male,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,kid,female,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,old,male,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,old,female,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,teenage,male,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,teenage,female,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,adult,male,no,mineral,15
Murad City Skin Age Defense Broad Spectrum SPF 15,adult,female,no,mineral,15
Neutrogena Ultra Gentle Moisturiser,teenage,female,no,chemical,15
Neutrogena Ultra Gentle Moisturiser,adult,female,no,chemical,15
Neutrogena Ultra Gentle Moisturiser,old,female,no,chemical,15
CeraVe Facial Moisturising Lotion,kid,male,no,chemical,15
CeraVe Facial Moisturising Lotion,kid,female,no,chemical,15
CeraVe Facial Moisturising Lotion,old,male,no,chemical,15
CeraVe Facial Moisturising Lotion,old,female,no,chemical,15
CeraVe Facial Moisturising Lotion,teenage,male,no,chemical,15
CeraVe Facial Moisturising Lotion,teenage,female,no,chemical,15
CeraVe Facial Moisturising Lotion,adult,male,no,chemical,15
CeraVe Facial Moisturising Lotion,adult,female,no,chemical,15
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,old,male,no,chemical,30
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,old,female,no,chemical,30
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,teenage,male,no,chemical,30
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,teenage,female,no,chemical,30
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,adult,male,no,chemical,30
NIVEA Sun Protect & Light Feel SPF30 Sunscreen Lotion,adult,female,no,chemical,30
CeraVe Tinted Sunscreen with SPF 30 | Hydrating Mineral Sunscreen With Zinc Oxide & Titanium Dioxide,adult,male,no,mineral,30
CeraVe Tinted Sunscreen with SPF 30 | Hydrating Mineral Sunscreen With Zinc Oxide & Titanium Dioxide,adult,female,no,mineral,30
CeraVe Tinted Sunscreen with SPF 30 | Hydrating Mineral Sunscreen With Zinc Oxide & Titanium Dioxide,old,male,no,mineral,30
CeraVe Tinted Sunscreen with SPF 30 | Hydrating Mineral Sunscreen With Zinc Oxide & Titanium Dioxide,old,female,no,mineral,30
The Kind Sunscreen SPF30,kid,male,no,mineral,30
The Kind Sunscreen SPF30,kid,female,no,mineral,30
The Kind Sunscreen SPF30,old,male,no,mineral,30
The Kind Sunscreen SPF30,old,female,no,mineral,30
The Kind Sunscreen SPF30,teenage,male,no,mineral,30
The Kind Sunscreen SPF30,teenage,female,no,mineral,30
The Kind Sunscreen SPF30,adult,male,no,mineral,30
The Kind Sunscreen SPF30,adult,female,no,mineral,30
Ultraderm DAILY PROTECTOR TINTED BASE + MOISTURISER SPF 30,adult,female,no,chemical,30
Ultraderm DAILY PROTECTOR TINTED BASE + MOISTURISER SPF 30,old,female,no,chemical,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,old,male,no,mineral,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,old,female,no,mineral,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,teenage,male,no,mineral,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,teenage,female,no,mineral,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,adult,male,no,mineral,30
Little Urchin  NATURAL CLEAR ZINC SUNSCREEN SPF 30,adult,female,no,mineral,30
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,kids,male,no,mineral,50
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,kids,female,no,mineral,50
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,teenage,male,no,mineral,50
La Roche-Posay Anthelios Wet Skin Body Sunscreen SPF50+,teenage,female,no,mineral,50
Naked Sundays SPF50+ 100% Mineral Glow Lotion Jumbo 80mL DUO,adult,female,no,mineral,50
Kids Everyday Sensitive Sunscreen SPF 50+,kids,male,no,mineral,50
Kids Everyday Sensitive Sunscreen SPF 50+,kids,female,no,mineral,50
FDM Clear Sunblock SPF 50,teenage,male,no,mineral,50
FDM Clear Sunblock SPF 50,teenage,female,no,mineral,50
Blue Lizard sensitive mineral sunscreen SPF 50,kids,male,no,mineral,50
Blue Lizard sensitive mineral sunscreen SPF 50,kids,female,no,mineral,50
Blue Lizard sensitive mineral sunscreen SPF 50,teenage,male,no,mineral,50
Blue Lizard sensitive mineral sunscreen SPF 50,teenage,female,no,mineral,50
Sun Bum mineral spray,kids,male,no,mineral,30
Sun Bum mineral spray,kids,female,no,mineral,30
Elta MD clear tined sunscreen,teenage,male,no,mineral,30
Elta MD clear tined sunscreen,teenage,female,no,mineral,30
